Attribute,Requirements (Functional / Non-functional / Business),Component,Class,Functions,Start Date of Code,End Date of Code,Update Date,Team Member(s) Designing / Updating Code,Team Member(s) Testing Code,Complete / Ongoing / Abandoned
FR-008,Operator dependency analysis (topological sort on DAG using Kahn's algorithm),Graph Processing / Scheduler,onnx_graph.c / onnx_graph.h,ONNX_Graph_BuildDependencies; ONNX_Graph_GenerateSchedule; ONNX_Graph_GenerateCustomSchedule,02/27/2026,03/02/2026,,Harshit saini,,Complete
FR-009,Static execution schedule generation with optional priority overrides,Graph Processing / Scheduler,onnx_graph.h,ONNX_Graph_SetCustomSchedule; ONNX_Graph_GetSchedule; ONNX_Node_SetPriority,02/27/2026,03/02/2026,,Harshit saini,,Complete
FR-011,Execute operators in dependency order with cooperative yield between nodes,Execution Engine / Runtime,onnx_runtime.c / onnx_runtime.h,ONNX_Runtime_Inference; ONNX_Runtime_ExecuteNode; ONNX_Runtime_ExecuteUpTo,02/27/2026,03/02/2026,,Harshit saini,,Ongoing
FR-012,Execution timing measurement per operator using HAL_Timer_GetTicks,Execution Engine / Profiling,onnx_runtime.c,ONNX_Runtime_GetStats; ONNX_Runtime_ResetStats; ONNX_Runtime_PrintProfile,02/27/2026,03/02/2026,,Harshit saini,,Complete
FR-013,"NEON SIMD operator implementations: Add, MatMul, ReLU, Conv, AveragePool, Softmax, Gemm",Execution Engine / Operators,"operator_registry.c / add.c / matmul.c / relu.c / conv.c / averagepool.c / softmax.c / gemm.c","operator_add; operator_matmul; operator_relu; operator_conv; operator_averagepool; operator_softmax; operator_gemm; find_operator",02/27/2026,03/16/2026,03/16/2026,Harshit saini; Darpan,,Ongoing
FR-014,Predictable memory access via static-only allocation for ML operator tensors,Kernel / Memory,kmem.c / kmem.h,KMEM_TensorAlloc; KMEM_TensorAllocZeroed; KMEM_ArenaReset,03/10/2026,03/10/2026,,Piyush2005-code,,Complete
FR-015,Status-based error handling without kernel restart (19 error codes),All Subsystems,status.h,STATUS_OK through STATUS_ERROR_POOL_EXHAUSTED; STATUS_ToString,02/24/2026,03/10/2026,03/18/2026,Piyush2005-code,,Complete
FR-016,"Pre-execution static allocation: bump (permanent), arena (per-cycle), pool (fixed-size)",Kernel / Memory,kmem.c / kmem.h,KMEM_Init; KMEM_Alloc; KMEM_ArenaCreate; KMEM_ArenaAlloc; KMEM_PoolCreate; KMEM_PoolAlloc; KMEM_PoolFree,02/24/2026,03/10/2026,03/10/2026,Piyush2005-code; Harshit Saini,,Complete
FR-017,Tensor memory reuse via arena reset (O(1) bulk free per inference cycle),Kernel / Memory,kmem.c,KMEM_ArenaReset; KMEM_ArenaGetUsed; KMEM_ArenaGetTotal,03/10/2026,03/10/2026,,Piyush2005-code,,Complete
FR-018,64-byte cache-line alignment for NEON SIMD tensor memory (KMEM_TENSOR_ALIGN),Kernel / Memory,kmem.h / kmem.c,KMEM_TensorAlloc (alignment=64); KMEM_TensorAllocZeroed,03/10/2026,03/10/2026,,Piyush2005-code,,Complete
FR-019,Memory protection via MMU separate device/normal memory attributes,HAL / MMU,mmu.c,HAL_MMU_Init (MAIR_EL1 Attr0=nGnRnE; Attr1=Normal WB); linker.ld guard zone,02/20/2026,03/10/2026,,Piyush2005-code,,Complete
FR-020,"Memory usage statistics: heap, arena, pool (9-field kmem_stats_t)",Kernel / Memory,kmem.h / kmem.c,KMEM_GetStats; KMEM_GetFreeSpace; heap.peak; arena_total; arena_used; pool_total; pool_used,02/24/2026,03/10/2026,03/10/2026,Piyush2005-code,,Complete
FR-021,Network interface for model loading (RUDP over Ethernet + UART fallback),Communication Interface,rudp.c / rudp.h / eth_driver.c / uart_protocol.c,RUDP_Init; RUDP_Send (NET_CMD_LOAD_MODEL); uart_pack_message; uart_unpack_message,02/15/2026,03/18/2026,03/18/2026,Aashma Yadav; Piyush2005-code,,Complete
FR-022,Inference result output via RUDP network protocol (NET_CMD_GET_RESULTS),Communication Interface / RUDP,rudp.c / net_types.h,RUDP_Send (NET_CMD_GET_RESULTS); response frame building,03/01/2026,03/18/2026,,Aashma Yadav,,Complete
FR-023,System status and health reporting via monitor_thread + RUDP keepalive,Kernel / Communication,main.c / rudp.c,monitor_thread (KMEM_GetStats + SCHED_GetUptime + SCHED_GetThreadCount); NET_CMD_SYSTEM_STATUS; NET_CMD_KEEPALIVE,03/01/2026,03/10/2026,,Piyush2005-code; Aashma Yadav,,Complete
FR-025,"Input validation with scope checks, NULL guards, CRC-16 integrity",All Subsystems,uart_protocol.c / rudp.c / crc16.c,uart_calculate_crc (XOR-8); CRC16_Compute (full-frame); bounds checks in KMEM / GIC / Thread APIs,02/15/2026,03/18/2026,,Aashma Yadav; Piyush2005-code,,Complete
BR-005,Cooperative scheduler with 4 priority levels and timer-driven wakeup,Kernel / Scheduler,thread.c / thread.h,SCHED_Init; SCHED_Start; SCHED_TimerTick; THREAD_Create; THREAD_Yield; THREAD_Sleep; enqueue_ready; dequeue_ready; schedule,03/10/2026,03/10/2026,,Piyush2005-code,,Complete
BR-006,7-policy cooperative scheduler (FCFS / SJF / RR / HRRN / Priority / MLQ / Lottery),Scheduler Simulation / Benchmarking,sched.c / sched.h,find_next_fcfs; find_next_sjf; find_next_rr; find_next_hrrn; find_next_priority; find_next_mlq; find_next_lottery; SCHED_SetPolicy; SCHED_Run,02/26/2026,03/02/2026,,Harshit Saini; Darpan Baviskar,,Complete
NFR-001,Reliable delivery with ACK/retry for ML control frames (up to RUDP_MAX_RETRIES),Communication Interface / RUDP,rudp.c,RUDP_Send (RELIABLE flag); RUDP_Poll (retransmit timer via HAL_Timer_GetMs); store_in_window; build_frame,03/01/2026,03/18/2026,03/18/2026,Aashma Yadav,,Complete
NFR-002,Session management (open/close/keepalive with dead-session detection),Communication Interface / RUDP,rudp.c,RUDP_OpenSession; RUDP_CloseSession; RUDP_Poll (keepalive/dead detection),03/01/2026,03/18/2026,,Aashma Yadav,,Complete
NFR-003,"Fragmentation for large ONNX models (>1452 bytes), per-fragment ACK, reassembly",Communication Interface / RUDP,rudp.c / rudp.h,RUDP_SendLarge (FRAG/FRAG_END flags); fragment reassembly into session->defrag_buf; callback on FRAG_END,03/01/2026,03/18/2026,,Aashma Yadav,,Complete
PR-001,Inference throughput within 20% of bare-metal baseline,Benchmarking Suite,scheduler_benchmark_report.md,MLQ total time 269µs vs SJF 281µs; cooperative overhead <10µs per context switch,02/25/2026,03/01/2026,,Harshit Saini; Darpan Baviskar,,Complete
PR-006,Boot time <200ms from power-on to inference-ready,HAL / Bootloader,boot.S / main.c,Full sequence: _start → EL transition → BSS zero → UART → MMU → KMEM → GIC → Timer → Scheduler,02/20/2026,03/10/2026,,Piyush2005-code,,Complete
PDR-001,Execution time variation <15% across scheduling runs,Benchmarking Suite,benchmark.c / scheduler_benchmark_report.md,"P50/P99 measured: Round-Robin avg CPU 52µs, MLQ avg CPU 48µs; all policies <327KB peak (identical allocation)",02/25/2026,03/01/2026,,Harshit Saini; Darpan Baviskar,,Complete
SR-003,No dynamic code loading or self-modifying code,All Branches,All source files,Static kernel image; no JIT; no dlopen; all allocations go through KMEM bump/arena/pool,02/20/2026,03/18/2026,,Piyush2005-code,,Complete
SR-004,CRC data integrity checking — CRC-8 (UART) and CRC-16 (RUDP),Communication Interface,uart_protocol.c / crc16.c,uart_calculate_crc (XOR-8 checksum); CRC16_Compute (table-based 16-bit over full frame header+payload),02/15/2026,03/18/2026,03/18/2026,Aashma Yadav; Piyush2005-code,,Complete
DC-001,C11 and ARM64 assembly freestanding build with aarch64-elf-gcc,Build System,Makefile / linker.ld,"-std=c11 -ffreestanding -nostdlib -mcpu=cortex-a53 -O2 -Wall -Werror; linker at 0x40000000; heap/stack/guard layout",02/20/2026,03/18/2026,,Piyush2005-code; Harshit Saini,,Complete
DC-002,No dynamic allocation — all critical buffers are static,Communication Interface / All,rudp.c / eth_driver.h,s_tx_frame; s_rx_frame; s_local_mac; s_stats (all static); KMEM_Alloc permanent (no free),03/01/2026,03/01/2026,,Aashma Yadav,,Complete
DOC-001,Project documentation: README / project_overview.md / traceability_matrix.md / diagrams,Documentation,README.md / project_overview.md / traceability_matrix.md,N/A,01/26/2026,03/18/2026,03/18/2026,Piyush2005-code; Harshit saini,,Complete
BENCH-001,scheduler_benchmark: QEMU ARM64 — 7 policies × 5 ML tasks — 23 API assertions passed,Benchmarking Suite,scheduler_benchmark_report.md / benchmark.c,"FCFS 620µs, SJF 281µs, RR 318µs, HRRN 318µs, Priority 293µs, MLQ 269µs, Lottery 303µs",02/24/2026,03/01/2026,,Harshit Saini; Darpan Baviskar,,Complete
BENCH-002,"scheduler_benchmark: Context switches per policy — FCFS 5, SJF 5, RR 20, HRRN 7, Priority 5, MLQ 17, Lottery 14",Benchmarking Suite,scheduler_benchmark_report.md,Context switch count per policy from SCHED_GetTotalSwitches(),02/24/2026,03/01/2026,,Harshit Saini; Darpan Baviskar,,Complete
BENCH-003,"scheduler_benchmark: Peak memory identical across all 7 policies (327 KB) — validates static allocation model",Benchmarking Suite,scheduler_benchmark_report.md,HAL_Mem_GetPeakUsage() reading post-benchmark,02/24/2026,03/01/2026,,Harshit Saini; Darpan Baviskar,,Complete
COMMIT-BKA-001,build/kernel_api: hal: add arch.h with ARM64 IRQ / barrier / WFE helpers,HAL / Arch,arch.h (include/hal/),"arch_enable_irq; arch_disable_irq; arch_irq_save; arch_irq_restore; arch_dsb; arch_isb; arch_dmb; arch_wfe; arch_wfi; arch_sev; arch_get_el; arch_get_core_id",02/23/2026,02/23/2026,,Piyush2005-code,,Complete
COMMIT-BKA-002,build/kernel_api: kernel/mem: bump allocator (with alignment bug fix in follow-up),Kernel / Memory,kmem.c / kmem.h (include/kernel/),KMEM_Init; KMEM_Alloc; KMEM_GetFreeSpace; KMEM_GetStats,02/24/2026,02/25/2026,,Piyush2005-code,,Complete
COMMIT-BKA-003,build/kernel_api: hal: GICv2 driver (skeleton + CPU interface fix),HAL / GIC,gic.c / gic.h,"HAL_GIC_Init; HAL_GIC_EnableIRQ; HAL_GIC_DisableIRQ; HAL_GIC_SetPriority; HAL_GIC_Acknowledge; HAL_GIC_EndOfInterrupt",02/26/2026,02/26/2026,,Piyush2005-code,,Complete
COMMIT-BKA-004,build/kernel_api: hal: ARM Generic Timer (+ overflow bug fix for tick calculation),HAL / Timer,timer.c / timer.h,HAL_Timer_Init; HAL_Timer_GetTicks; HAL_Timer_GetElapsedUs; HAL_Timer_DelayUs; HAL_Timer_Enable; HAL_Timer_Disable; HAL_Timer_Reload,02/27/2026,02/27/2026,,Piyush2005-code,,Complete
COMMIT-KA-001,Kernel_API: Full cooperative kernel (arena+pool+threading+IRQ dispatch in single commit),Kernel (all subsystems),thread.c / kmem.c / context.S / vectors.S / main.c,"THREAD_Create; THREAD_Yield; THREAD_Sleep; SCHED_Init; SCHED_Start; SCHED_TimerTick; cpu_context_switch; _thread_entry_trampoline; _irq_handler_full; KMEM_ArenaCreate; KMEM_PoolCreate; HAL_IRQ_Handler",03/10/2026,03/10/2026,,Piyush2005-code,,Complete
COMMIT-NP-001,net-protocol: Initial RUDP implementation (447-line rudp.c + 592-line rudp.h + 557-line tests),Communication Interface,rudp.c / rudp.h / tests/test_rudp.c,RUDP_Init; RUDP_Send; RUDP_SendLarge; RUDP_Receive; RUDP_Poll; RUDP_OpenSession; RUDP_CloseSession,03/01/2026,03/01/2026,,Aashma Yadav,,Complete
COMMIT-NP-002,"net-protocol: Bug fixes — RUDP_Poll retransmit storm; RUDP_Receive fragment reassembly; include paths",Communication Interface,rudp.c / crc16.c / rudp.h / net_types.h / test_rudp.c,RUDP_Poll (gated by timeout); RUDP_Receive (session->defrag_buf reassembly; callback on FRAG_END only),03/18/2026,03/18/2026,,Aashma Yadav,,Complete
COMMIT-FO-001,feat/onnx: Implement ONNX model loading and inference runtime (619-line loader + 549-line graph + 447-line runtime),Graph Processing / Execution Engine,onnx_loader.c / onnx_graph.c / onnx_runtime.c,ONNX_LoadProtobuf; ONNX_Graph_Validate; ONNX_Graph_GenerateSchedule; ONNX_Runtime_Inference; ONNX_Runtime_PrintProfile,02/27/2026,03/02/2026,,Harshit saini,,Complete
COMMIT-FOP-001,feat/operators: Add 7 NEON operator implementations + registry (581 lines),Execution Engine / Operators,add.c / matmul.c / relu.c / conv.c / averagepool.c / softmax.c / gemm.c / operator_registry.c,operator_add; operator_matmul; operator_relu; operator_conv; operator_averagepool; operator_softmax; operator_gemm; find_operator,03/16/2026,03/16/2026,,Darpan,,Ongoing
COMMIT-SB-001,"scheduler_benchmark: feat(sched): FCFS, SJF, Round-Robin, HRRN, Priority policies (537-line sched.c)",Scheduling / Benchmarking,sched.c / sched.h,find_next_fcfs; find_next_sjf; find_next_rr; find_next_hrrn; find_next_priority; SCHED_SetPolicy; SCHED_Run,02/26/2026,02/26/2026,,Harshit Saini,,Complete
COMMIT-SB-002,scheduler_benchmark: feat(sched): Multilevel Queue + Lottery scheduling algorithms,Scheduling / Benchmarking,sched.c,find_next_mlq; find_next_lottery; prng_next (xorshift32); task.queue_level; task.ticket_count,02/27/2026,02/27/2026,,Darpan Baviskar,,Complete
COMMIT-SB-003,scheduler_benchmark: feat(bench): benchmark runner + stats + matplotlib charts,Benchmarking,benchmark.c / generate_charts.py / scheduler_benchmark_report.md,benchmark loop; BenchmarkResult struct; context switch counting; total/turnaround/response time measurement,02/28/2026,03/01/2026,,Harshit Saini; Darpan Baviskar,,Complete
